code,description
B660,Opisthorchiasis
B661,Clonorchiasis
B662,Dicrocoeliasis
B663,Fascioliasis
B664,Paragonimiasis
B665,Fasciolopsiasis
B668,Other specified fluke infections
B669,"Fluke infection, unspecified"
B67,Echinococcosis
B670,Echinococcus granulosus infection of liver
B671,Echinococcus granulosus infection of lung
B672,Echinococcus granulosus infection of bone
B673,"Echinococcus granulosus infection, other and multiple sites"
B674,"Echinococcus granulosus infection, unspecified"
B675,Echinococcus multilocularis infection of liver
B676,"Echinococcus multilocularis infection, other and multiple sites"
B677,"Echinococcus multilocularis infection, unspecified"
B678,"Echinococcosis, unspecified, of liver"
B679,"Echinococcosis, other and unspecified"
B68,Taeniasis
B680,Taenia solium taeniasis
B681,Taenia saginata taeniasis
B689,"Taeniasis, unspecified"
B69,Cysticercosis
B690,Cysticercosis of central nervous system
B691,Cysticercosis of eye
B698,Cysticercosis of other sites
B699,"Cysticercosis, unspecified"
B70,Diphyllobothriasis and sparganosis
B700,Diphyllobothriasis
B701,Sparganosis
B71,Other cestode infections
B710,Hymenolepiasis
B711,Dipylidiasis
B718,Other specified cestode infections
B719,"Cestode infection, unspecified"
B72,Dracunculiasis
B73,Onchocerciasis
B74,Filariasis
B740,Filariasis due to Wuchereria bancrofti
B741,Filariasis due to Brugia malayi
B742,Filariasis due to Brugia timori
B743,Loiasis
B744,Mansonelliasis
B748,Other filariases
B749,"Filariasis, unspecified"
B75,Trichinellosis
B76,Hookworm diseases
B760,Ancylostomiasis
B761,Necatoriasis
B768,Other hookworm diseases
B769,"Hookworm disease, unspecified"
B77,Ascariasis
B770,Ascariasis with intestinal complications
B778,Ascariasis with other complications
B779,"Ascariasis, unspecified"
B78,Strongyloidiasis
B780,Intestinal strongyloidiasis
B781,Cutaneous strongyloidiasis
B787,Disseminated strongyloidiasis
B789,"Strongyloidiasis, unspecified"
B79,Trichuriasis
B80,Enterobiasis
B81,"Other intestinal helminthiases, not elsewhere classified"
B810,Anisakiasis
B811,Intestinal capillariasis
B812,Trichostrongyliasis
B813,Intestinal angiostrongyliasis
B814,Mixed intestinal helminthiases
B818,Other specified intestinal helminthiases
B82,Unspecified intestinal parasitism
B820,"Intestinal helminthiasis, unspecified"
B829,"Intestinal parasitism, unspecified"
B83,Other helminthiases
B830,Visceral larva migrans
B831,Gnathostomiasis
B832,Angiostrongyliasis due to Parastrongylus cantonensis
B833,Syngamiasis
B834,Internal hirudiniasis
B838,Other specified helminthiases
B839,"Helminthiasis, unspecified"
B85,Pediculosis and phthiriasis
B850,Pediculosis due to Pediculus humanus capitis
B851,Pediculosis due to Pediculus humanus corporis
B852,"Pediculosis, unspecified"
B853,Phthiriasis
B854,Mixed pediculosis and phthiriasis
B86,Scabies
B87,Myiasis
B870,Cutaneous myiasis
B871,Wound myiasis
B872,Ocular myiasis
B873,Nasopharyngeal myiasis
B874,Aural myiasis
B878,Myiasis of other sites
B879,"Myiasis, unspecified"
B88,Other infestations
B880,Other acariasis
B881,Tungiasis [sandflea infestation]
B882,Other arthropod infestations
B883,External hirudiniasis
B888,Other specified infestations
B889,"Infestation, unspecified"
B89,Unspecified parasitic disease
B90,Sequelae of tuberculosis
B900,Sequelae of central nervous system tuberculosis
B901,Sequelae of genitourinary tuberculosis
B902,Sequelae of tuberculosis of bones and joints
B908,Sequelae of tuberculosis of other organs
B909,Sequelae of respiratory and unspecified tuberculosis
B91,Sequelae of poliomyelitis
B92,Sequelae of leprosy
B94,Sequelae of other and unspecified infectious and parasitic diseases
B940,Sequelae of trachoma
B941,Sequelae of viral encephalitis
B942,Sequelae of viral hepatitis
B948,Sequelae of other specified infectious and parasitic diseases
B949,Sequelae of unspecified infectious or parasitic disease
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters
B950,"Streptococcus, group A, as the cause of diseases classified to other chapters"
B951,"Streptococcus, group B, as the cause of diseases classified to other chapters"
B952,"Streptococcus, group D, as the cause of diseases classified to other chapters"
B953,Streptococcus pneumoniae as the cause of diseases classified to other chapters
B954,Other streptococcus as the cause of diseases classified to other chapters
B955,Unspecified streptococcus as the cause of diseases classified to other chapters
B956,Staphylococcus aureus as the cause of diseases classified to other chapters
B957,Other staphylococcus as the cause of diseases classified to other chapters
B958,Unspecified staphylococcus as the cause of diseases classified to other chapters
B96,Other specified bacterial agents as the cause of diseases classified to other chapters
B960,Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified to other chapters
B961,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters
B962,Escherichia coli [E. coli] as the cause of diseases classified to other chapters
B963,Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters
B964,Proteus (mirabilis)(morganii) as the cause of diseases classified to other chapters
B965,Pseudomonas (aeruginosa)as the cause of diseases classified to other chapters
B966,Bacillus fragilis [B. fragilis] as the cause of diseases classified to other chapters
B967,Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters
B968,Other specified bacterial agents as the cause of diseases classified to other chapters
B97,Viral agents as the cause of diseases classified to other chapters
B970,Adenovirus as the cause of diseases classified to other chapters
B971,Enterovirus as the cause of diseases classified to other chapters
B972,Coronavirus as the cause of diseases classified to other chapters
B973,Retrovirus as the cause of diseases classified to other chapters
B974,Respiratory syncytial virus as the cause of diseases classified to other chapters
B975,Reovirus as the cause of diseases classified to other chapters
B976,Parvovirus as the cause of diseases classified to other chapters
B977,Papillomavirus as the cause of diseases classified to other chapters
B978,Other viral agents as the cause of diseases classified to other chapters
B98,Other specified infectious agents as the cause of disease classified to other chapters
B980,Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters
B981,Vibrio vulnifucus as the cause of diseases classified to other chapters
B99,Other infectious disease
C00,Malignant neoplasm of lip
C000,"Malignant neoplasm, external upper lip"
C001,"Malignant neoplasm, external lower lip"
C002,"Malignant neoplasm, external lip, unspecified"
C003,"Malignant neoplasm, upper lip, inner aspect"
C004,"Malignant neoplasm, lower lip, inner aspect"
C005,"Malignant neoplasm, lip, unspecified, inner aspect"
C006,"Malignant neoplasm, commissure of lip"
C008,"Malignant neoplasm, overlapping lesion of lip"
C009,"Malignant neoplasm, lip, unspecified"
C01,Malignant neoplasm of base of tongue
C02,Malignant neoplasm of other and unspecified parts of tongue
C020,"Malignant neoplasm, dorsal surface of tongue"
C021,"Malignant neoplasm, border of tongue"
C022,"Malignant neoplasm, ventral surface of tongue"
C023,"Malignant neoplasm, anterior two-thirds of tongue, part unspecified"
C024,"Malignant neoplasm, lingual tonsil"
C028,"Malignant neoplasm, overlapping lesion of tongue"
C029,"Malignant neoplasm, tongue, unspecified"
C03,Malignant neoplasm of gum
C030,"Malignant neoplasm, upper gum"
C031,"Malignant neoplasm, lower gum"
C039,"Malignant neoplasm, gum, unspecified"
C04,Malignant neoplasm of floor of mouth
C040,"Malignant neoplasm, anterior floor of mouth"
C041,"Malignant neoplasm, lateral floor of mouth"
C048,"Malignant neoplasm, overlapping lesion of floor of mouth"
C049,"Malignant neoplasm, floor of mouth, unspecified"
C05,Malignant neoplasm of palate
C050,"Malignant neoplasm, hard palate"
C051,"Malignant neoplasm, soft palate"
C052,"Malignant neoplasm, uvula"
C058,"Malignant neoplasm, overlapping lesion of palate"
C059,"Malignant neoplasm, palate, unspecified"
C06,Malignant neoplasm of other and unspecified parts of mouth
C060,"Malignant neoplasm, cheek mucosa"
C061,"Malignant neoplasm, vestibule of mouth"
C062,"Malignant neoplasm, retromolar area"
C068,"Malignant neoplasm, overlapping lesion of other and unspecified parts of mouth"
C069,"Malignant neoplasm, mouth, unspecified"
C07,Malignant neoplasm of parotid gland
C08,Malignant neoplasm of other and unspecified major salivary glands
C080,"Malignant neoplasm, submandibular gland"
C081,"Malignant neoplasm, sublingual gland"
C088,"Malignant neoplasm, overlapping lesion of major salivary glands"
C089,"Malignant neoplasm, major salivary gland, unspecified"
C09,Malignant neoplasm of tonsil
C090,"Malignant neoplasm, tonsillar fossa"
C091,"Malignant neoplasm, tonsillar pillar (anterior)(posterior)"
C098,"Malignant neoplasm, overlapping lesion of tonsil"
C099,"Malignant neoplasm, tonsil, unspecified"
C10,Malignant neoplasm of oropharynx
C100,"Malignant neoplasm, vallecula"
C101,"Malignant neoplasm, anterior surface of epiglottis"
C102,"Malignant neoplasm, lateral wall of oropharynx"
C103,"Malignant neoplasm, posterior wall of oropharynx"
C104,"Malignant neoplasm, branchial cleft"
C108,"Malignant neoplasm, overlapping lesion of oropharynx"
C109,"Malignant neoplasm, oropharynx, unspecified"
C11,Malignant neoplasm of nasopharynx
C110,"Malignant neoplasm, superior wall of nasopharynx"
C111,"Malignant neoplasm, posterior wall of nasopharynx"
C112,"Malignant neoplasm, lateral wall of nasopharynx"
C113,"Malignant neoplasm, anterior wall of nasopharynx"
C118,"Malignant neoplasm, overlapping lesion of nasopharynx"
C119,"Malignant neoplasm, nasopharynx, unspecified"
C12,Malignant neoplasm of piriform sinus
C13,Malignant neoplasm of hypopharynx
C130,"Malignant neoplasm, postcricoid region"
C131,"Malignant neoplasm, aryepiglottic fold, hypopharyngeal aspect"
C132,"Malignant neoplasm, posterior wall of hypopharynx"
C138,"Malignant neoplasm, overlapping lesion of hypopharynx"
C139,"Malignant neoplasm, hypopharynx, unspecified"
C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
C140,"Malignant neoplasm, pharynx, unspecified"
C141,"Malignant neoplasm, laryngopharynx"
C142,"Malignant neoplasm, Waldeyer's ring"
C148,"Malignant neoplasm, overlapping lesion of lip, oral cavity and pharynx"
C15,Malignant neoplasm of oesophagus
C150,"Malignant neoplasm, cervical part of oesophagus"
C151,"Malignant neoplasm, thoracic part of oesophagus"
C152,"Malignant neoplasm, abdominal part of oesophagus"
C153,"Malignant neoplasm, upper third of oesophagus"
C154,"Malignant neoplasm, middle third of oesophagus"
C155,"Malignant neoplasm, lower third of oesophagus"
C158,"Malignant neoplasm, overlapping lesion of oesophagus"
C159,"Malignant neoplasm, oesophagus, unspecified"
C16,Malignant neoplasm of stomach
C160,"Malignant neoplasm, cardia"
C161,"Malignant neoplasm, fundus of stomach"
C162,"Malignant neoplasm, body of stomach"
C163,"Malignant neoplasm, pyloric antrum"
C164,"Malignant neoplasm, pylorus"
C165,"Malignant neoplasm, lesser curvature of stomach, unspecified"
C166,"Malignant neoplasm, greater curvature of stomach, unspecified"
C168,"Malignant neoplasm, overlapping lesion of stomach"
C169,"Malignant neoplasm, stomach, unspecified"
C17,Malignant neoplasm of small intestine
C170,"Malignant neoplasm, duodenum"
C171,"Malignant neoplasm, jejunum"
C172,"Malignant neoplasm, ileum"
C173,"Malignant neoplasm, Meckel's diverticulum"
C178,"Malignant neoplasm, overlapping lesion of small intestine"
C179,"Malignant neoplasm, small intestine, unspecified"
C18,Malignant neoplasm of colon
C180,"Malignant neoplasm, caecum"
C181,"Malignant neoplasm, appendix"
C182,"Malignant neoplasm, ascending colon"
C183,"Malignant neoplasm, hepatic flexure"
C184,"Malignant neoplasm, transverse colon"
C185,"Malignant neoplasm, splenic flexure"
C186,"Malignant neoplasm, descending colon"
C187,"Malignant neoplasm, sigmoid colon"
C188,"Malignant neoplasm, overlapping lesion of colon"
C189,"Malignant neoplasm, colon, unspecified"
C19,Malignant neoplasm of rectosigmoid junction
C20,Malignant neoplasm of rectum
C21,Malignant neoplasm of anus and anal canal
C210,"Malignant neoplasm, anus, unspecified"
C211,"Malignant neoplasm, anal canal"
C212,"Malignant neoplasm, cloacogenic zone"
C218,"Malignant neoplasm, overlapping lesion of rectum, anus and anal canal"
C22,Malignant neoplasm of liver and intrahepatic bile ducts
C220,"Malignant neoplasm, liver cell carcinoma"
C221,"Malignant neoplasm, intrahepatic bile duct carcinoma"
C222,"Malignant neoplasm, hepatoblastoma"
C223,"Malignant neoplasm, angiosarcoma of liver"
C224,"Malignant neoplasm, other sarcomas of liver"
C227,"Malignant neoplasm, other specified carcinomas of liver"
C229,"Malignant neoplasm, liver, unspecified"
C23,Malignant neoplasm of gallbladder
C24,Malignant neoplasm of other and unspecified parts of biliary tract
C240,"Malignant neoplasm, extrahepatic bile duct"
C241,"Malignant neoplasm, ampulla of Vater"
C248,"Malignant neoplasm, overlapping lesion of biliary tract"
C249,"Malignant neoplasm, biliary tract, unspecified"
C25,Malignant neoplasm of pancreas
C250,"Malignant neoplasm, head of pancreas"
C251,"Malignant neoplasm, body of pancreas"
C252,"Malignant neoplasm, tail of pancreas"
C253,"Malignant neoplasm, pancreatic duct"
C254,"Malignant neoplasm, endocrine pancreas"
C257,"Malignant neoplasm, other parts of pancreas"
C258,"Malignant neoplasm, overlapping lesion of pancreas"
C259,"Malignant neoplasm, pancreas, unspecified"
C26,Malignant neoplasm of other and ill-defined digestive organs
C260,"Malignant neoplasm, intestinal tract, part unspecified"
C261,"Malignant neoplasm, spleen"
C268,"Malignant neoplasm, overlapping lesion of digestive system"
C269,"Malignant neoplasm, ill-defined sites within the digestive system"
C30,Malignant neoplasm of nasal cavity and middle ear
C300,"Malignant neoplasm, nasal cavity"
C301,"Malignant neoplasm, middle ear"
C31,Malignant neoplasm of accessory sinuses
C310,"Malignant neoplasm, maxillary sinus"
C311,"Malignant neoplasm, ethmoidal sinus"
C312,"Malignant neoplasm, frontal sinus"
C313,"Malignant neoplasm, sphenoidal sinus"
C318,"Malignant neoplasm, overlapping lesion of accessory sinuses"
C319,"Malignant neoplasm, accessory sinus, unspecified"
C32,Malignant neoplasm of larynx
C320,"Malignant neoplasm, glottis"
C321,"Malignant neoplasm, supraglottis"
C322,"Malignant neoplasm, subglottis"
C323,"Malignant neoplasm, laryngeal cartilage"
C328,"Malignant neoplasm, overlapping lesion of larynx"
C329,"Malignant neoplasm, larynx, unspecified"
C33,Malignant neoplasm of trachea
C34,Malignant neoplasm of bronchus and lung
C340,"Malignant neoplasm, main bronchus"
C341,"Malignant neoplasm, upper lobe, bronchus or lung"
C342,"Malignant neoplasm, middle lobe, bronchus or lung"
C343,"Malignant neoplasm, lower lobe, bronchus or lung"
